case,label,window_s,start_s,end_s,npu_utilization_pct,ssd_mean_utilization_pct,npu_link_mean_utilization_pct,compute_busy_npu_ms,admitted_request_count,admitted_compute_ms,admitted_io_gb,admitted_compute_ms_per_io_gb,admitted_io_per_compute_gbps,admitted_mean_raw_demand_gbps,inferred_compute_inventory_drop_ms
adaptive_t0_i100ms,Adaptive 100 ms,8.0,18.5,26.5,74.5550594349337,93.93201374417724,9.393227744706795,190860.95215343023,491,200974.44783488722,1202.144775390625,167.1799037429436,5.981580187637885,27.441596342852904,-10113.495681456989
adaptive_t0_i100ms,Adaptive 100 ms,8.0,19.0,27.0,76.71871846132565,93.81760125266548,9.381580984734832,196399.91926099366,488,201233.41284357695,1185.2177734375,169.78602359289422,5.8897663001859195,27.021372893192257,-4833.4935825832945
adaptive_t0_i100ms,Adaptive 100 ms,8.0,19.5,27.5,78.92435838273127,93.64050275589244,9.364454953250464,202046.35745979205,493,204687.93775738275,1196.7333984375,171.03887801964163,5.8466239464290854,26.51354877513943,-2641.580297590699
adaptive_t0_i100ms,Adaptive 100 ms,8.0,20.0,28.0,80.18229296228442,93.64776999260204,9.364910465047515,205266.66998344814,491,211454.55726876212,1204.1790771484375,175.60059071072567,5.694741663183483,26.41697638749981,-6187.8872853139765
adaptive_t0_i100ms,Adaptive 100 ms,8.0,20.5,28.5,81.57327817470892,93.72987447369621,9.372996549937325,208827.59212725481,482,214005.53584806586,1200.9241943359375,178.20070313963677,5.611650135950402,26.326965673833236,-5177.943720811047
adaptive_t0_i100ms,Adaptive 100 ms,8.0,21.0,29.0,81.62204631797698,93.63891190460555,9.363615805755106,208952.4385740211,479,207518.09286043418,1201.500244140625,172.71581414356,5.789857778563392,26.393753428413444,1434.3457135869248
adaptive_t0_i100ms,Adaptive 100 ms,8.0,21.5,29.5,79.69673034724451,94.50593843599725,9.450445566615654,204023.62968894595,487,205893.3189577053,1241.8223876953125,165.79932927431028,6.031387487373538,27.637374851932766,-1869.6892687593645
adaptive_t0_i100ms,Adaptive 100 ms,8.0,22.0,30.0,78.86398690085221,94.45782213861862,9.445857744254553,201891.80646618165,474,203592.96621293935,1212.5257568359375,167.90815788046538,5.955636775622926,27.717187466538117,-1701.1597467577085
adaptive_t0_i100ms,Adaptive 100 ms,8.0,22.5,30.5,79.64408139146911,94.3442627443925,9.434522203065667,203888.84836216093,471,210260.51333653234,1220.1392822265625,172.32500944715093,5.802988220967906,27.518055567221477,-6371.664974371408
adaptive_t0_i100ms,Adaptive 100 ms,8.0,23.0,31.0,79.97499653173922,94.34627399428415,9.434496654559998,204735.99112125242,464,210714.22726250152,1207.193603515625,174.5488268400804,5.7290559787960555,27.760218568452547,-5978.236141249101
