condition,policy,seed,request_id,admission_ms,completion_ms,own_compute_ms,admission_latency_ms,raw_ratio,plotted_ratio,slo_1p5_pass
full,asu_baseline,7,23000008,2221.556251494391,2787.480554223656,565.9243027292647,565.924302729265,1.0000000000000007,1.0,True
full,asu_baseline,7,23000009,2787.480554223656,3038.819297521463,58.057852632638046,251.338743297807,4.3291084995540015,4.3291084995540015,False
full,asu_baseline,7,23000010,3038.819297521463,3303.4714066316346,58.92951067026337,264.65210911017175,4.49099451361504,4.49099451361504,False
full,asu_baseline,7,23000011,3303.4714066316346,4072.684386433287,744.1386016188327,769.2129798016522,1.0336958439305144,1.0336958439305144,True
full,asu_baseline,7,24000004,2062.4848838563275,2265.6599837842114,186.90687789087698,203.17509992788382,1.08703918347245,1.08703918347245,True
full,asu_baseline,7,24000005,2265.6599837842114,2732.632770727937,458.55018171426593,466.9727869437256,1.0183679029369745,1.0183679029369745,True
full,asu_baseline,7,24000006,2732.632770727937,2982.9016292487845,48.19209238871334,250.26885852084752,5.193151949124767,5.193151949124767,False
full,asu_baseline,7,24000007,2982.9016292487845,3233.2290615641386,32.085964974046185,250.32743231535414,7.801773533002356,7.801773533002356,False
full,asu_baseline,7,24000008,3233.2290615641386,3509.2604244148,48.19209238871334,276.0313628506615,5.727731442416234,5.727731442416234,False
full,asu_baseline,7,24000009,3509.2604244148,3729.3002214981966,26.717256165257165,220.03979708339648,8.235868074264822,8.235868074264822,False
full,asu_baseline,7,24000010,3729.3002214981966,4042.0849167634706,58.92951067026337,312.78469526527397,5.3077768966289645,5.3077768966289645,False
full,asu_baseline,7,25000006,2386.2159347174297,3302.1533091481388,915.9373744307104,915.937374430709,0.9999999999999986,1.0,True
full,asu_baseline,7,25000007,3302.1533091481388,3557.5165118677246,122.48236916054397,255.36320271958584,2.0848976425730963,2.0848976425730963,False
full,asu_baseline,7,25000008,3557.5165118677246,3780.8167298473386,101.00752608339441,223.300217979614,2.2107285133906913,2.2107285133906913,False
full,asu_baseline,7,25000009,3780.8167298473386,4097.878535419954,186.90687789087698,317.06180557261496,1.6963624300531472,1.6963624300531472,False
full,asu_baseline,7,26000007,2047.8844467460574,2230.1848018562064,48.19209238871334,182.30035511014898,3.7827856412568632,3.7827856412568632,False
full,asu_baseline,7,26000008,2230.1848018562064,2464.40165870683,58.92951067026337,234.21685685062357,3.9745257373876783,3.9745257373876783,False
full,asu_baseline,7,26000009,2464.40165870683,2707.514240637796,72.35128428205302,243.11258193096592,3.360169544236699,3.360169544236699,False
full,asu_baseline,7,26000010,2707.514240637796,2995.9194977916745,101.00752608339441,288.40525715387867,2.855284832100173,2.855284832100173,False
full,asu_baseline,7,26000011,2995.9194977916745,3240.5835950068144,58.057852632638046,244.66409721513992,4.214143068005904,4.214143068005904,False
full,asu_baseline,7,26000012,3240.5835950068144,3515.5933346354277,32.085964974046185,275.00973962861326,8.571029104191323,8.571029104191323,False
full,asu_baseline,7,26000013,3515.5933346354277,3738.4190884850364,15.979837567787547,222.82575384960865,13.944181403870145,13.944181403870145,False
full,asu_baseline,7,26000014,3738.4190884850364,4042.7958574845247,26.717256165257165,304.3767689994884,11.392516024729241,11.392516024729241,False
full,asu_baseline,7,27000005,2165.9143264414743,2449.4579339419834,283.5436075005082,283.5436075005091,1.000000000000003,1.0,True
full,asu_baseline,7,27000006,2449.4579339419834,2684.9427997502444,229.85653940820262,235.48486580826102,1.0244862574480122,1.0244862574480122,True
full,asu_baseline,7,27000007,2684.9427997502444,2942.3468676163607,26.717256165257165,257.4040678661163,9.634375112248307,9.634375112248307,False
full,asu_baseline,7,27000008,2942.3468676163607,3200.6458248698027,32.085964974046185,258.29895725344204,8.05021626939928,8.05021626939928,False
