scenario,policy,seed,request_id,npu,total_K,miss,category,admission_ms,completion_ms,TTFT_ms,SLO_base_ms,SLO_multiple
full,od_baseline,7,30000009,30,32,4096,SL,2639.726051061502,2868.898933379157,229.17288231765497,228.74273596704626,1.001880480920149
full,od_baseline,7,30000010,30,160,256,LS,2868.898933379157,3228.578318155072,359.67938477591497,58.92951067026337,6.103552883520108
full,od_baseline,7,30000011,30,80,256,SS,3228.578318155072,3406.5978970133574,178.0195788582855,32.085964974046185,5.548207105576617
full,od_baseline,7,30000012,30,160,1024,LL,3406.5978970133574,3823.610578583252,417.01268156989454,229.85653940820262,1.8142302265732846
full,od_baseline,7,30000013,30,32,1024,SL,3823.610578583252,3899.1426312616973,75.53205267844533,58.057852632638046,1.3009790967705186
full,od_baseline,7,30000014,30,128,256,LS,3899.1426312616973,4172.422655860113,273.2800245984158,48.19209238871334,5.6706403696723156
full,od_baseline,7,31000006,31,80,1024,SL,2994.717500148665,3178.313196950732,183.59569680206732,122.48236916054397,1.4989561196470569
full,od_baseline,7,31000007,31,80,256,SS,3178.313196950732,3332.4601185953884,154.14692164465623,32.085964974046185,4.804185311844078
full,od_baseline,7,31000008,31,200,256,LS,3332.4601185953884,3791.0401890264675,458.5800704310791,72.35128428205302,6.338243681250471
full,od_baseline,7,31000009,31,200,1024,LL,3791.0401890264675,4277.246716098696,486.2065270722287,283.5436075005082,1.7147504447666213
full,od_baseline,19,9,0,128,256,LS,2313.270823987405,2588.566736157964,275.29591217055895,48.19209238871334,5.712470625887032
full,od_baseline,19,10,0,32,256,SS,2588.566736157964,2657.683591146169,69.11685498820498,15.979837567787547,4.325253914190719
full,od_baseline,19,11,0,64,1024,SL,2657.683591146169,2808.283594569018,150.6000034228491,101.00752608339441,1.4909780415620701
full,od_baseline,19,12,0,160,1024,LL,2808.283594569018,3183.892132123291,375.60853755427297,229.85653940820262,1.6340998542888054
full,od_baseline,19,13,0,200,1024,LL,3183.892132123291,3667.795422153384,483.9032900300931,283.5436075005082,1.7066274013221259
full,od_baseline,19,14,0,128,2048,LL,3667.795422153384,4040.4462916279813,372.65086947459713,372.6508694745985,1.0
full,od_baseline,19,1000006,1,64,2048,SL,2838.290496464798,3039.142639802206,200.85214333740805,200.85214333740902,1.0
full,od_baseline,19,1000007,1,160,2048,LL,3039.142639802206,3516.7285348880932,477.5858950858874,458.55018171426593,1.0415128248351302
full,od_baseline,19,1000008,1,160,256,LS,3516.7285348880932,3849.925645523236,333.19711063514296,58.92951067026337,5.654163878935427
full,od_baseline,19,1000009,1,128,256,LS,3849.925645523236,4118.040331641363,268.1146861181269,48.19209238871334,5.563458086765283
full,od_baseline,19,2000008,2,160,1024,LL,2302.6784689892893,2667.776180585205,365.0977115959158,229.85653940820262,1.5883720886771822
