scenario,policy,seed,window,category,count,passed,percent,active_U_percent
semi,mild,43,long_2_6s,SS,27,27,100.0,93.96539161198999
semi,mild,43,long_2_6s,SL,130,130,100.0,99.86964134085697
semi,mild,43,long_2_6s,LS,32,27,84.375,81.35707487595711
semi,mild,43,long_2_6s,LL,143,142,99.3006993006993,99.53268666790099
semi,mild,43,full_population,SS,96,95,98.95833333333333,93.82456869912669
semi,mild,43,full_population,SL,384,377,98.17708333333333,98.65978661487158
semi,mild,43,full_population,LS,96,82,85.41666666666667,77.7843394724929
semi,mild,43,full_population,LL,384,376,97.91666666666667,98.12217209908792
semi,mild,7,warm_2_4s,SS,16,16,100.0,97.66107252907764
semi,mild,7,warm_2_4s,SL,83,83,100.0,99.87480144119728
semi,mild,7,warm_2_4s,LS,17,16,94.11764705882354,85.31757725295226
semi,mild,7,warm_2_4s,LL,63,63,100.0,98.98082214140553
semi,mild,7,long_2_6s,SS,33,33,100.0,96.61888827910661
semi,mild,7,long_2_6s,SL,143,143,100.0,99.93233949852574
semi,mild,7,long_2_6s,LS,32,31,96.875,88.85146212795928
semi,mild,7,long_2_6s,LL,133,133,100.0,99.38496632271166
semi,mild,7,full_population,SS,96,96,100.0,94.6286205095025
semi,mild,7,full_population,SL,384,384,100.0,99.44524958019689
semi,mild,7,full_population,LS,96,85,88.54166666666667,83.49037112018392
semi,mild,7,full_population,LL,384,379,98.69791666666667,97.7377243459715
semi,od_baseline,19,warm_2_4s,SS,18,14,77.77777777777777,79.49614705655607
semi,od_baseline,19,warm_2_4s,SL,64,64,100.0,99.81959764317693
semi,od_baseline,19,warm_2_4s,LS,14,9,64.28571428571429,54.13968530861596
semi,od_baseline,19,warm_2_4s,LL,73,73,100.0,99.8041906933675
semi,od_baseline,19,long_2_6s,SS,33,27,81.81818181818181,83.6498140471586
semi,od_baseline,19,long_2_6s,SL,121,121,100.0,99.89332137701817
semi,od_baseline,19,long_2_6s,LS,28,22,78.57142857142857,64.91095271858777
semi,od_baseline,19,long_2_6s,LL,145,145,100.0,99.86220531827493
semi,od_baseline,19,full_population,SS,96,67,69.79166666666667,59.595981575041854
semi,od_baseline,19,full_population,SL,384,383,99.73958333333333,99.62355644846569
semi,od_baseline,19,full_population,LS,96,66,68.75,56.92378437767711
semi,od_baseline,19,full_population,LL,384,380,98.95833333333333,99.21180949980489
semi,od_baseline,43,warm_2_4s,SS,9,6,66.66666666666667,59.20566835455931
semi,od_baseline,43,warm_2_4s,SL,63,63,100.0,99.86504991707187
semi,od_baseline,43,warm_2_4s,LS,15,9,60.0,55.92554140311631
semi,od_baseline,43,warm_2_4s,LL,72,72,100.0,99.79689917273836
semi,od_baseline,43,long_2_6s,SS,28,21,75.0,71.30928326110201
semi,od_baseline,43,long_2_6s,SL,127,127,100.0,99.88695912444837
semi,od_baseline,43,long_2_6s,LS,32,18,56.25,62.20484888614486
semi,od_baseline,43,long_2_6s,LL,141,141,100.0,99.84053568246901
semi,od_baseline,43,full_population,SS,96,59,61.458333333333336,57.31384013921333
semi,od_baseline,43,full_population,SL,384,380,98.95833333333333,99.31515194873771
semi,od_baseline,43,full_population,LS,96,48,50.0,51.81339154155066
semi,od_baseline,43,full_population,LL,384,380,98.95833333333333,99.22919427948771
semi,od_baseline,7,warm_2_4s,SS,16,10,62.5,66.93304720261763
semi,od_baseline,7,warm_2_4s,SL,80,80,100.0,99.85343449020817
semi,od_baseline,7,warm_2_4s,LS,18,9,50.0,64.26143226651202
semi,od_baseline,7,warm_2_4s,LL,64,64,100.0,99.65189347896727
semi,od_baseline,7,long_2_6s,SS,35,26,74.28571428571429,71.32910126985763
semi,od_baseline,7,long_2_6s,SL,140,140,100.0,99.89620670212832
semi,od_baseline,7,long_2_6s,LS,32,18,56.25,68.07684768410472
semi,od_baseline,7,long_2_6s,LL,132,132,100.0,99.74671229386561
semi,od_baseline,7,full_population,SS,96,71,73.95833333333333,69.5470047079535
semi,od_baseline,7,full_population,SL,384,383,99.73958333333333,99.63949947158103
semi,od_baseline,7,full_population,LS,96,53,55.208333333333336,58.526845166271016
semi,od_baseline,7,full_population,LL,384,384,100.0,99.20103623954358
semi,once,19,warm_2_4s,SS,17,17,100.0,99.78877433670624
semi,once,19,warm_2_4s,SL,63,61,96.82539682539682,99.17312261403916
semi,once,19,warm_2_4s,LS,14,13,92.85714285714286,93.59980888839267
semi,once,19,warm_2_4s,LL,70,70,100.0,99.26052408224378
semi,once,19,long_2_6s,SS,33,33,100.0,99.57246546861498
semi,once,19,long_2_6s,SL,120,118,98.33333333333333,99.53590900108651
semi,once,19,long_2_6s,LS,31,30,96.7741935483871,96.38200382799862
semi,once,19,long_2_6s,LL,145,145,100.0,99.36927902329195
semi,once,19,full_population,SS,96,90,93.75,90.24968983377296
semi,once,19,full_population,SL,384,378,98.4375,99.01799599274602
semi,once,19,full_population,LS,96,89,92.70833333333333,83.56390489236726
semi,once,19,full_population,LL,384,378,98.4375,98.26215058114764
semi,once,43,warm_2_4s,SS,8,8,100.0,100.0
semi,once,43,warm_2_4s,SL,59,59,100.0,99.89328660026251
semi,once,43,warm_2_4s,LS,15,15,100.0,99.60770108948816
semi,once,43,warm_2_4s,LL,73,72,98.63013698630137,99.34399221837633
semi,once,43,long_2_6s,SS,28,28,100.0,99.97874884853255
