scenario,policy,seed,window,ssu_id,capacity_GiB_s,mean_demand_GiB_s,min_demand_GiB_s,max_demand_GiB_s,overload_percent,actual_GiB_s,busy_percent
full,asu_baseline,19,warm_2_4s,1,40,122.13001149040183,89.20423673503409,161.76082098646518,100.0,40.0,100.0
full,asu_baseline,19,warm_2_4s,2,40,119.36499372820516,88.5091791934935,158.09726061689736,100.0,39.05091094970702,97.62727737426754
full,asu_baseline,19,long_2_6s,0,40,104.54980669013109,57.352341736404455,146.41245856472156,100.0,36.384885609092535,90.96221402273133
full,asu_baseline,19,long_2_6s,1,40,114.11213735821575,62.556270349099854,161.76082098646518,100.0,40.0,100.0
full,asu_baseline,19,long_2_6s,2,40,111.37332989419492,62.260197364599634,158.09726061689736,100.0,38.88184738159179,97.20461845397946
full,asu_baseline,19,full_population,0,40,109.62790855812311,0.49687280639652476,173.85150045708588,97.29752946243428,35.550801023926915,88.8770025598173
full,asu_baseline,19,full_population,1,40,120.37402501516844,0.5824453452758857,193.384212292895,97.30669070666507,39.04745035135122,97.61862587837807
full,asu_baseline,19,full_population,2,40,117.40979285187937,0.599007772155807,186.0360546783506,97.29752946243428,38.110009569148176,95.27502392287045
full,asu_baseline,43,warm_2_4s,0,40,131.97739477014287,83.10386824948415,196.78291465299645,100.0,36.132057189941406,90.33014297485352
full,asu_baseline,43,warm_2_4s,1,40,147.26187014501807,92.10461907881457,220.69469239662732,100.0,40.0,100.0
full,asu_baseline,43,warm_2_4s,2,40,142.2599299868601,88.22450627390438,210.42327578026388,100.0,38.742240905761705,96.85560226440425
full,asu_baseline,43,long_2_6s,0,40,116.1094519925609,49.7051529972381,196.78291465299645,100.0,36.016075134277344,90.04018783569336
full,asu_baseline,43,long_2_6s,1,40,129.01517304132088,54.552679237051336,220.69469239662732,100.0,40.0,100.0
full,asu_baseline,43,long_2_6s,2,40,125.09950443321054,52.40568195324095,210.42327578026388,100.0,38.74488449096679,96.86221122741696
