experiment,case,ssu,seed,strategy,start_ms,end_ms,seq_len_k,nql,compute_ms,active_ms,share_of_fleet_time_compute,share_of_fleet_time_active,profile_compute_fraction,all_cards_active
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,0,1000,96,512,798.2340783591249,1090.7101507832783,0.02494481494872265,0.03408469221197745,0.7318480329406343,True
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,0,1000,192,512,3196.1750837656427,3425.439163785244,0.09988047136767633,0.10704497386828887,0.9330701644205365,True
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,0,1000,192,1024,7010.079833980096,7306.847894252296,0.219064994811878,0.22833899669538427,0.959384940734069,True
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,0,1000,192,2048,17165.96846776952,17489.95822825271,0.5364365146177975,0.5465611946328972,0.9814756698526683,True
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,1000,2000,32,128,243.85137349540219,1233.1113153435385,0.007620355421731318,0.03853472860448558,0.1977529282727135,True
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,1000,2000,32,256,239.697563516811,687.1966662363034,0.007490548859900343,0.02147489581988448,0.3488048986465648,True
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,1000,2000,64,512,715.2865644132726,1067.6053584396502,0.022352705137914767,0.03336266745123907,0.6699915458074261,True
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,1000,2000,96,512,1140.911866961759,1320.064934365648,0.03565349584255497,0.0412520291989265,0.8642846554438776,True
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,1000,2000,192,512,4143.232074428917,4260.388655951039,0.12947600232590367,0.13313714549846997,0.972500963883078,True
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,1000,2000,192,1024,4338.1017432884055,4349.802775730672,0.13556567947776269,0.1359313367415835,0.9973099855222055,True
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,1000,2000,192,2048,19022.267448946004,19081.83029393315,0.5944458577795626,0.596307196685411,0.996878557032022,True
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,2000,3000,32,128,237.96124370082725,427.5350464426274,0.0074362888656508514,0.013360470201332107,0.556588859044004,True
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,2000,3000,32,256,255.6774010846275,362.94910352449415,0.00798991878389461,0.011342159485140443,0.7044442281350689,True
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,2000,3000,64,512,664.1946669552042,674.943874157979,0.020756083342350132,0.021091996067436846,0.9840739243449169,True
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,2000,3000,96,512,745.8232273416227,748.221601250182,0.023306975854425708,0.023381925039068188,0.996794567405496,True
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,2000,3000,192,512,3159.6663154692324,3192.417764034525,0.0987395723584135,0.09976305512607891,0.9897408638260733,True
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,2000,3000,192,1024,3718.5277367777144,3749.3576244631795,0.11620399177430357,0.11716742576447436,0.9917772880654778,True
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,2000,3000,192,2048,22784.01864626196,22844.574986127005,0.7120005826956862,0.7138929683164689,0.9973492026049152,True
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,3000,4000,32,128,270.9459705504469,1362.8261148055522,0.008467061579701465,0.0425883160876735,0.19881184224966617,True
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,3000,4000,32,256,191.75805081347062,374.75454259447906,0.0059924390879209566,0.01171107945607747,0.5116897302589112,True
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,3000,4000,64,512,510.91897458092717,570.0774615852733,0.015966217955653974,0.017814920674539794,0.8962272831487882,True
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,3000,4000,96,512,1136.5351553680052,1183.442117240883,0.03551672360525016,0.03698256616377759,0.960363957654103,True
